round,samples,train_loss,test_loss,test_acc,wall_clock,active_workers,bytes_in,mean_staleness,round_seconds,barrier_wait
110,7040,1.48476,1.46496,0.6205,0.2291,2,13872428,0.0,0.00057,0.00013
111,7104,1.43352,1.46496,0.6205,0.2365,2,13998540,0.0,0.00748,0.00019
112,7168,1.43887,1.46496,0.6205,0.2372,2,14124652,0.0,0.00063,0.00015
113,7232,1.45007,1.46496,0.6205,0.2378,2,14250764,0.0,0.00063,0.00023
114,7296,1.4596,1.46496,0.6205,0.2384,2,14376876,0.0,0.00056,0.00013
115,7360,1.44487,1.44558,0.626,0.2389,2,14502988,0.0,0.00055,0.00015
116,7424,1.38503,1.44558,0.626,0.2458,2,14629100,0.0,0.00688,0.00016
117,7488,1.5432,1.44558,0.626,0.2464,2,14755212,0.0,0.00061,0.00023
118,7552,1.52076,1.44558,0.626,0.2469,2,14881324,0.0,0.00051,0.00013
119,7616,1.3702,1.44558,0.626,0.2481,2,15007436,0.0,0.0012,0.00061
120,7680,1.51923,1.42163,0.631,0.2491,2,15133548,0.0,0.00095,0.00019
121,7744,1.47564,1.42163,0.631,0.2568,2,15259660,0.0,0.00774,0.00031
122,7808,1.50617,1.42163,0.631,0.2577,2,15385772,0.0,0.00089,0.00028
123,7872,1.33595,1.42163,0.631,0.2586,2,15511884,0.0,0.00092,0.00029
124,7936,1.43538,1.42163,0.631,0.2596,2,15637996,0.0,0.00102,0.00039
125,8000,1.47214,1.401,0.636,0.2606,2,15764108,0.0,0.00091,0.00029
126,8064,1.41852,1.401,0.636,0.2682,2,15890220,0.0,0.00766,0.00034
127,8128,1.46785,1.401,0.636,0.2693,2,16016332,0.0,0.00103,0.00029
128,8192,1.44908,1.401,0.636,0.2702,2,16142444,0.0,0.00096,0.00034
129,8256,1.38929,1.401,0.636,0.2711,2,16268556,0.0,0.0009,0.00028
130,8320,1.36392,1.37868,0.647,0.272,2,16394668,0.0,0.00089,0.00028
131,8384,1.44279,1.37868,0.647,0.2807,2,16520780,0.0,0.00865,0.00068
132,8448,1.368,1.37868,0.647,0.2821,2,16646892,0.0,0.00145,0.00049
133,8512,1.4115,1.37868,0.647,0.2831,2,16773004,0.0,0.00103,0.00028
134,8576,1.35906,1.37868,0.647,0.2841,2,16899116,0.0,0.00099,0.00028
135,8640,1.35339,1.35995,0.645,0.285,2,17025228,0.0,0.00092,0.00029
136,8704,1.32079,1.35995,0.645,0.2922,2,17151340,0.0,0.00714,0.00032
137,8768,1.41788,1.35995,0.645,0.2931,2,17277452,0.0,0.00091,0.00029
138,8832,1.33305,1.35995,0.645,0.294,2,17403564,0.0,0.00092,0.00029
139,8896,1.35952,1.35995,0.645,0.2949,2,17529676,0.0,0.0009,0.00028
140,8960,1.38129,1.34096,0.649,0.2958,2,17655788,0.0,0.0009,0.00029
141,9024,1.4539,1.34096,0.649,0.3048,2,17781900,0.0,0.00899,0.0002
142,9088,1.40613,1.34096,0.649,0.3054,2,17908012,0.0,0.00062,0.00017
143,9152,1.51153,1.34096,0.649,0.3061,2,18034124,0.0,0.0007,0.00024
144,9216,1.3665,1.34096,0.649,0.3067,2,18160236,0.0,0.00052,0.00013
145,9280,1.30603,1.3235,0.6565,0.3073,2,18286348,0.0,0.00061,0.00018
146,9344,1.33663,1.3235,0.6565,0.3149,2,18412460,0.0,0.00764,0.00033
147,9408,1.43461,1.3235,0.6565,0.3164,2,18538572,0.0,0.00147,0.00077
148,9472,1.35155,1.3235,0.6565,0.3177,2,18664684,0.0,0.00136,0.00031
149,9536,1.33873,1.3235,0.6565,0.319,2,18790796,0.0,0.00126,0.00029
150,9600,1.36028,1.30947,0.6605,0.32,2,18916908,0.0,0.00103,0.00028
151,9664,1.29471,1.30947,0.6605,0.3279,2,19043020,0.0,0.00784,0.00034
152,9728,1.34776,1.30947,0.6605,0.3288,2,19169132,0.0,0.00093,0.00029
153,9792,1.32055,1.30947,0.6605,0.33,2,19295244,0.0,0.00116,0.00051
154,9856,1.15532,1.30947,0.6605,0.3309,2,19421356,0.0,0.00098,0.0003
155,9920,1.2898,1.29414,0.6615,0.332,2,19547468,0.0,0.00111,0.00034
